Date,Open,High,Low,Close,Adj Close,Volume
2019-03-07,0.209000,0.215000,0.168200,0.215000,0.215000,306690
2019-03-08,0.180100,0.200000,0.180000,0.198000,0.198000,81169
2019-03-11,0.190000,0.210000,0.170000,0.195000,0.195000,112475
2019-03-12,0.196500,0.210000,0.194300,0.194300,0.194300,80953
2019-03-13,0.180000,0.199000,0.180000,0.199000,0.199000,28003
2019-03-14,0.195000,0.197000,0.175000,0.194000,0.194000,74600
2019-03-15,0.184500,0.192700,0.180000,0.192500,0.192500,50375
2019-03-18,0.175850,0.190200,0.151000,0.170000,0.170000,335869
2019-03-19,0.169250,0.169250,0.155000,0.168000,0.168000,97390
2019-03-20,0.160000,0.195000,0.160000,0.184000,0.184000,327434
2019-03-21,0.204500,0.204500,0.138850,0.148000,0.148000,736104
2019-03-22,0.143800,0.148000,0.143800,0.148000,0.148000,83663
2019-03-25,0.148000,0.158800,0.145000,0.158800,0.158800,122893
2019-03-26,0.158000,0.160500,0.150000,0.160500,0.160500,48200
2019-03-27,0.150000,0.160000,0.144000,0.151500,0.151500,167500
2019-03-28,0.144000,0.164000,0.131600,0.164000,0.164000,343472
2019-03-29,0.140000,0.164000,0.140000,0.164000,0.164000,74523
2019-04-01,0.150000,0.159050,0.141000,0.156000,0.156000,47125
2019-04-02,0.150000,0.157500,0.142500,0.150000,0.150000,50985
2019-04-03,0.150000,0.163000,0.142000,0.163000,0.163000,112231
2019-04-04,0.143000,0.163000,0.143000,0.150000,0.150000,48012
2019-04-05,0.150000,0.160000,0.145000,0.159300,0.159300,45582
2019-04-08,0.150000,0.159200,0.150000,0.158460,0.158460,29300
2019-04-09,0.155450,0.162900,0.148000,0.160000,0.160000,38350
2019-04-10,0.174800,0.174800,0.152500,0.160000,0.160000,10000
2019-04-11,0.150000,0.162900,0.145000,0.150000,0.150000,31925
2019-04-12,0.170000,0.170000,0.145000,0.150000,0.150000,52950
2019-04-15,0.155000,0.155000,0.125000,0.137000,0.137000,225806
2019-04-16,0.138000,0.153000,0.138000,0.148250,0.148250,202585
2019-04-17,0.147080,0.147080,0.110000,0.137900,0.137900,639163
2019-04-18,0.126800,0.139450,0.126800,0.138900,0.138900,90794
2019-04-22,0.126800,0.132450,0.115000,0.129600,0.129600,310720
2019-04-23,0.142500,0.149900,0.126500,0.141000,0.141000,81395
