Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2019-12-31,1544.7,1544.7,1509.1,1514.1,1527.06,295706.0,10474.0,451562030.0,142598.0,48.22,35.6,-30.6
2019-12-30,1543.0,1547.0,1528.3,1544.2,1537.76,371439.0,11771.0,571182594.0,195064.0,52.52,18.7,1.2
2019-12-27,1525.0,1545.8,1521.45,1542.15,1532.6,485460.0,16027.0,744013989.0,217520.0,44.81,24.35,17.15
2019-12-26,1545.95,1553.3,1510.95,1515.95,1534.66,577183.0,17878.0,885777554.0,203746.0,35.3,42.35,-30.0
2019-12-24,1570.9,1572.15,1542.75,1545.95,1555.9,232508.0,10853.0,361759879.0,87622.0,37.69,29.4,-24.95
2019-12-23,1555.0,1577.0,1555.0,1571.0,1562.11,1274110.0,18294.0,1990297159.0,908038.0,71.27,22.0,16.0
2019-12-20,1611.2,1617.8,1595.65,1599.4,1607.43,315858.0,13004.0,507719102.0,93709.0,29.67,22.15,-11.8
2019-12-19,1574.7,1615.0,1572.35,1605.15,1601.6,1024480.0,13026.0,1640806468.0,154898.0,15.12,42.65,30.45
2019-12-18,1562.15,1580.0,1562.0,1575.7,1569.13,279220.0,11780.0,438131692.0,145552.0,52.13,18.0,13.55
2019-12-17,1569.8,1579.5,1555.6,1562.15,1563.06,320894.0,12649.0,501576229.0,144236.0,44.95,23.9,-7.65
2019-12-16,1589.3,1593.0,1563.6,1566.55,1574.05,281506.0,9740.0,443104512.0,119165.0,42.33,29.4,-22.75
2019-12-13,1575.0,1590.0,1572.55,1582.45,1579.04,611627.0,9401.0,965781656.0,122911.0,20.1,17.45,7.45
2019-12-12,1567.0,1573.6,1557.25,1567.5,1567.12,585429.0,9350.0,917435559.0,92629.0,15.82,16.35,0.5
2019-12-11,1557.5,1575.15,1551.0,1562.6,1564.17,615737.0,8366.0,963120324.0,105729.0,17.17,24.15,5.1
2019-12-10,1571.9,1574.8,1554.25,1562.2,1560.6,209096.0,8144.0,326314607.0,93999.0,44.95,20.55,-9.7
2019-12-09,1554.15,1577.3,1547.65,1572.55,1566.06,307151.0,12737.0,481017310.0,121253.0,39.48,29.65,18.4
2019-12-06,1558.0,1568.2,1541.4,1554.95,1554.89,343319.0,9361.0,533822842.0,154476.0,44.99,26.8,-3.05
2019-12-05,1579.0,1579.85,1544.0,1550.3,1560.87,378637.0,13717.0,591003790.0,114461.0,30.23,35.85,-28.7
2019-12-04,1570.25,1577.05,1533.45,1552.55,1550.99,558332.0,15289.0,865966412.0,226508.0,40.57,43.6,-17.7
2019-12-03,1591.0,1593.35,1573.1,1578.85,1578.65,370722.0,10451.0,585241578.0,173733.0,46.86,20.25,-12.15
2019-12-02,1595.0,1614.0,1577.7,1586.3,1590.5,692915.0,19801.0,1102082625.0,320621.0,46.27,36.3,-8.7
2019-11-29,1582.0,1582.0,1548.0,1550.9,1559.5,226724.0,9087.0,353577178.0,90930.0,40.11,34.0,-31.1
2019-11-28,1572.5,1584.0,1564.4,1579.95,1577.6,273450.0,11289.0,431394752.0,128521.0,47.0,19.6,7.45
2019-11-27,1561.0,1575.0,1556.4,1569.75,1564.95,179080.0,7672.0,280250965.0,76992.0,42.99,18.6,8.75
2019-11-26,1569.4,1576.0,1556.0,1558.85,1565.8,334268.0,13120.0,523395964.0,165327.0,49.46,20.0,-10.55
2019-11-25,1551.0,1564.6,1551.0,1560.7,1558.93,260903.0,15879.0,406728548.0,105904.0,40.59,13.6,9.7
